claim_id,ml_risk_score,llm_risk_score,hybrid_risk_score,risk_level,recommendation,red_flags,model_breakdown,timestamp,product_type,claim_amount,location,claim_date
CLM-007898,20.048582283253193,20,20.029149369951917,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 43.0535295578862, 'gradient_boosting': 18.082054965770652, 'isolation_forest': 0.0, 'neural_network': 19.058744609355927}",2025-11-01T11:24:03.558108,Marine,208598.22780093717,Thika,2025-04-06 11:21:16.439685
CLM-003781,25.764318339288717,0,15.458591003573229,LOW,APPROVE,[],"{'random_forest': 49.406188676938996, 'gradient_boosting': 25.10580934967236, 'isolation_forest': 0.0, 'neural_network': 28.545275330543518}",2025-11-01T11:24:03.730613,Medical,40173.986239000704,Malindi,2025-02-09 11:21:16.424916
CLM-006311,11.445265090328471,25,16.86715905419708,LOW,APPROVE,['High claim amount'],"{'random_forest': 13.955699785666557, 'gradient_boosting': 21.370680550069785, 'isolation_forest': 0.0, 'neural_network': 10.454680025577545}",2025-11-01T11:24:03.848687,Liability,684053.9846951707,Kisumu,2025-01-22 11:21:16.433889
CLM-007017,53.073250587724395,0,31.843950352634636,LOW,APPROVE,[],"{'random_forest': 32.37515637664874, 'gradient_boosting': 16.34270335225484, 'isolation_forest': 100.0, 'neural_network': 63.57514262199402}",2025-11-01T11:24:03.986706,Property,9844.317416488677,Mombasa,2024-07-18 11:21:16.436559
CLM-003546,39.798016485372884,0,23.878809891223728,LOW,APPROVE,[],"{'random_forest': 35.36018093500856, 'gradient_boosting': 9.174998548086062, 'isolation_forest': 100.0, 'neural_network': 14.656886458396912}",2025-11-01T11:24:04.106909,Motor,103911.3666847873,Mombasa,2025-01-05 11:21:16.424090
CLM-001114,43.22142784172773,20,33.93285670503664,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 67.34760529435867, 'gradient_boosting': 73.65717898667579, 'isolation_forest': 0.0, 'neural_network': 31.880927085876465}",2025-11-01T11:24:04.247277,Liability,375690.8853085199,Nakuru,2025-03-31 11:21:16.415398
CLM-007033,49.00218509550029,0,29.40131105730017,LOW,APPROVE,[],"{'random_forest': 45.42392707441629, 'gradient_boosting': 23.742812227071866, 'isolation_forest': 100.0, 'neural_network': 26.842001080513}",2025-11-01T11:24:04.374961,Medical,86915.67125941784,Garissa,2024-01-06 11:21:16.436614
CLM-007083,74.56187167860394,35,58.73712300716236,MEDIUM,REVIEW,"['Vague or excessive descriptions', 'Insufficient documentation']","{'random_forest': 82.33874372518083, 'gradient_boosting': 64.3323253046799, 'isolation_forest': 100.0, 'neural_network': 51.576417684555054}",2025-11-01T11:24:04.495980,Motor,34423.67096335779,Thika,2025-10-08 11:21:16.436790
CLM-008840,18.421931757649975,20,19.053159054589983,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 33.13451361393912, 'gradient_boosting': 24.821291624630447, 'isolation_forest': 0.0, 'neural_network': 15.731921792030334}",2025-11-01T11:24:04.617404,Motor,115997.22148564947,Kitale,2024-12-27 11:21:16.443062
CLM-006501,96.60215172737227,40,73.96129103642336,MEDIUM,REVIEW,"['Early claim after policy start', 'Insufficient documentation']","{'random_forest': 95.54493560731282, 'gradient_boosting': 98.46758484778479, 'isolation_forest': 100.0, 'neural_network': 92.39608645439148}",2025-11-01T11:24:04.738519,Marine,60997.31429839402,Nakuru,2024-10-26 11:21:16.434662
